,index,Measure,SVRq_kernel,SVRq_data,SVRepsilon,SVRC,cSVRq_kernel_naive,cSVRq_data_naive,ccSVRq_kernel_div,ccSVRq_data_div,ccSVRdiv_impact
AR exp  2,0,std,0.0727,0.0992*,0.0328,0.07,0.0998,0.2917*,0.7721,1.1233,1.3029*
AR exp  shocked  0,0,std,0.0154,0.0159,0.0216,0.0256*,0.0335,0.0532*,0.4889,0.7915,1.0101*
AR exp  shocked  0,0,std,0.0135,0.0142,0.025*,0.0211,0.038,0.0662*,0.8903,1.4105,1.8334*
AR exp  shocked  1,0,std,0.0186,0.0202,0.0213,0.0259*,0.046,0.0744*,0.3806,0.6121,0.6939*
AR exp  shocked  1,0,std,0.0174,0.0203,0.0243,0.0251*,0.046,0.0776*,0.6999,1.1342,1.3384*
AR exp  shocked  2,0,std,0.0417,0.0535*,0.0248,0.0367,0.0518,0.1458*,0.3895,0.5821,0.6887*
AR exp  shocked  2,0,std,0.0507,0.0667*,0.0301,0.0601,0.0644,0.1518*,0.5552,0.8238,0.9472*
AR 0,0,std,0.0139,0.0133,0.0047,0.0247*,0.0215,0.0569*,0.3318,0.3873,0.6023*
AR 0,0,std,0.0151,0.0163,0.002,0.0243*,0.0291,0.0786*,1.2343,1.2947,2.1126*
AR 1,0,std,0.0213,0.0227,0.0054,0.0252*,0.0347,0.0945*,0.3638,0.3831,0.7028*
AR 1,0,std,0.0227,0.0288*,0.0035,0.026,0.0503,0.133*,0.886,0.929,1.4858*
AR 2,0,std,0.0703,0.0637,0.0123,0.0818*,0.0852,0.2405*,0.5007,0.5202,0.9604*
AR 2,0,std,0.0894,0.1017*,0.0143,0.0824,0.1641,0.4639*,1.1982,1.2189,2.2567*
AR shocked  0,0,std,0.0142,0.0135,0.0048,0.0255*,0.0234,0.0574*,0.4771,0.5267,0.9243*
AR shocked  0,0,std,0.0146,0.0167,0.0033,0.0233*,0.0303,0.0796*,0.9678,1.0967,1.7401*
AR shocked  1,0,std,0.0178,0.0193,0.0054,0.0224*,0.0325,0.0863*,0.3991,0.4237,0.7789*
AR shocked  1,0,std,0.0215,0.0286*,0.0053,0.0269,0.0489,0.1339*,0.8042,0.8883,1.5178*
AR shocked  2,0,std,0.0582,0.0499,0.0101,0.0672*,0.0851,0.2216*,0.4328,0.4471,0.805*
AR shocked  2,0,std,0.0519,0.0614*,0.0098,0.0468,0.1009,0.264*,0.6752,0.7687,1.3237*
